+==============================================+==============================================+=========================================================================================================+
| Launch Setup Clock                           | Launch Hold Clock                            | Pin                                                                                                     |
+==============================================+==============================================+=========================================================================================================+
| SPW_Sin                                      | SPW_Din                                      | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/RECVFRONT_INST/SYNCSYSBITCNT2/buf_ff0_reg/D       |
| SPW_Sin                                      | SPW_Din                                      | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/RECVFRONT_INST/SYNCSYSBITCNT1/buf_ff0_reg/D       |
| SPW_Sin                                      | SPW_Din                                      | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/RECVFRONT_INST/SYNCSYSBITCNT3/buf_ff0_reg/D       |
| SPW_Sin                                      | SPW_Din                                      | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/RECVFRONT_INST/SYNCSYSBITCNT0/buf_ff0_reg/D       |
| SPW_Din                                      | SPW_Din                                      | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/RECVFRONT_INST/ff_pre_f_reg/D                     |
| SPW_Sin                                      | SPW_Sin                                      | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/RECVFRONT_INST/res_seq_reg[bufdout][1]/D          |
| SPW_Sin                                      | SPW_Sin                                      | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/RECVFRONT_INST/res_seq_reg[bufdout][0]/D          |
| SPW_Sin                                      | SPW_Sin                                      | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/RECVFRONT_INST/SYNCSYSHEADPTR0/buf_ff0_reg/D      |
| SPW_Sin                                      | SPW_Sin                                      | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/RECVFRONT_INST/SYNCSYSHEADPTR1/buf_ff0_reg/D      |
| SPW_Sin                                      | SPW_Sin                                      | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/RECVFRONT_INST/SYNCSYSHEADPTR2/buf_ff0_reg/D      |
| SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/XMIT_FAST_INST/restx_seq_reg[b_token][char][0]/D  |
| SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/XMIT_FAST_INST/restx_seq_reg[b_token][char][6]/D  |
| TX_clk_Test_Implementaiton_clk_wiz_0_0       | TX_clk_Test_Implementaiton_clk_wiz_0_0       | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/XMIT_FAST_INST/SYNCSYSTXFLIP0/buf_ff0_reg/D       |
| SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/XMIT_FAST_INST/restx_seq_reg[b_token][char][3]/D  |
| SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/XMIT_FAST_INST/restx_seq_reg[b_token][flag]/D     |
| SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/XMIT_FAST_INST/restx_seq_reg[b_token][char][4]/D  |
| TX_clk_Test_Implementaiton_clk_wiz_0_0       | TX_clk_Test_Implementaiton_clk_wiz_0_0       | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/XMIT_FAST_INST/SYNCSYSTXFLIP1/buf_ff0_reg/D       |
| SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/XMIT_FAST_INST/restx_seq_reg[b_token][char][5]/D  |
| SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/XMIT_FAST_INST/restx_seq_reg[b_token][char][7]/D  |
| SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | SPW_core_clk_Test_Implementaiton_clk_wiz_0_0 | Test_Implementaiton_i/SpaceWire_light_AXI_0/U0/SPW_IF/XMIT_FAST_INST/restx_seq_reg[b_token][char][2]/D  |
